d,u,t,b
"16.09.2010, 12:31",expat_in_zug,Fondue Set Used twice. Cheese included,"CHEESE INCLUDED!
Come by anytime. I work from home.
PM me for my address
Thanks! Neil
PS If you already got free stuff from me let someone else have a go."
"15.09.2010, 13:08",noella,Free baby tricycle (Nr Basel),Red with handle to push. New owner to collect.
"15.09.2010, 14:03",Nelly_Da_Hefferlump,"Free cat ""tree"" scratchy post/bed thing.","If anybody wants one of these cat tree things you are welcome to mine. But you will need to come and fetch it from the Thalwil area.
Spanks!
It is like this one. https://www.qualipet.ch/content/onli...index_ger.html"

"14.09.2010, 12:21",MissZurichBound,[FREE] Sofa for pick up TODAY [Zurich - Wollishofen],"Hello EFers,
If you can collect it TODAY (Tuesday 14 Sept) either before 3pm or after about 7:30/8pm, it's free.http://picasaweb.google.com/10174505...52025064982658
110cm x 66cm x 183cm
Great for curling up in. I'll miss it dearly."
"09.09.2010, 20:56",FabrizioM,[Now FREE] Coffee Machine (Aussie power head),Sunbeam Cafe Espresso machine and coffee emptier for sale.  Model EM3800.50 CHF ONO Pick-up from Zürich Enge 15 bar pump Australian plug so adapter required (or rewire to Swiss plug) See photo attached!
"12.09.2010, 19:23",expat_in_zug,"2 Free Prince Tennis rackets for FREE - Thalwil, ZH","I got these in 1994. They were the top Prince competition racket at the time.
I still used these this year, and you can easily play well with them. They are both strung.
I am giving them away for free since I am moving and I am going to buy new rackets. So, if you want them, you can pick them up.
Send me a PM or I can leave them outside at my place for you.
I am an 8 min walk from the Thalwil train station.
thanks!"
"13.09.2010, 15:34",quest_5692,wanted: soda club machine,i can pay a small fee but i literally need 1 that is functioning thats all. cuz im kinda addicted to soda water and its near to impossible to find it at malaysia. so imma gonna bring it back to malaysia! and will buy catridges in dozens....
"12.09.2010, 17:18",expat_in_zug,"Free Deep Fryer - stainless steel only used once - Thalwil, ZH","Bought this, made some fries, never used it again. Good for those calamari rings you see on the shelves. I just never got around to using it much. I specifically bought a stainless steel one so it would be easier to clean and also not plastic. Yours for free since it cost me maybe CHf 49 and I am moving and don't want to put it in my suitcase. lol
here is a pic from the box. thanks! Just email me and come and pick it up!"
"26.06.2010, 11:21",bigblue2,Free wicker dog beds [Zurich],"Hi, we have 2 wicker dog beds to give away for free, one small and one medium size, both in good condition, but need a clean (quite dusty).
Small one has a base size of 56 x 42 cm
Medium one has a base size of 65 x 50 cm
Pick up is preferred, but can deliver to the Baden / Zurich area if necessary.
Small bed:
Medium bed:"
"06.06.2010, 13:42",29eleven,Free: Ikea Logga 160x200 bed frame [ZH],"Ikea Logga Steel frame bed (Queen zize)
It has  been dismantled hence I'm  showing a googled picture. The  horizontal beams of the bed a a little  different though, as there are  no loops on mine, but just straight bars.
Some small scratches here & there from moving, but nothing major.
One screw is missing, but you should be able to get it from Ikea during   your next visit as it's a fairly regular screw used for Ikea metal  beds.
Also missing is two bottom pads for the bed legs, but that isn't a problem.
Self collect in Au ZH.
Please PM"
"11.09.2010, 13:18",Littlestar,Free: TV stand Zürich Enge,"TV stand in good condition.  Measurements are:
Length: 235mm 
Width: 155mm
Height: 165mm
See picture attached.  Easily carried by one person.  Pick up only at Zürich Enge."
"08.09.2010, 17:37",polionamen,"Looking for adaptor plugs: UK to CH/Europe, also CH/CH - Zürich","Hi, as the title suggests...
I moved in a new flat, got my stuff delivered from the UK and I don't have enough adaptors. 
So for those leaving the country, I would love to get some of yours. 
CH/CH is the adaptor to fit European round plugs into those tiny Swiss lozengy ones. 
I work in 8001 and live in 8008 so anything central is better. 
Thanks"
"04.09.2010, 11:08",Anshui,[Free] Metallic Design Bookshelf [Zurich/Aargau],"Giving away a metallic bookshelf - bought at Interio.
Dimensions 40x40x180cm
See the attached pictures. It cannot be taken apart. Thus the car to get it would need to be large enough to fit it. Location in the Zurich/Aargau region (near Affoltern am Albis/Birmensdorf/Bremgarten)."
"15.08.2010, 13:20",RuTiA,"Free sofa bed, Fribourg","Sofa bed (external width 160cms)
inside dimensions 125 x 180 cm,
Photo via email, pick up in Fribourg."
"11.09.2010, 16:35",monica_agarwal,[Wanted]Basal Body Thermometer{Zurich},"Hi,
Need Basal Body Thermometer that someone might be willing to sell or to just give away.
Thanks in advance
Monica."
"11.09.2010, 10:32",Richdog,Free Squash Racket & Balls - Zürich Enge,"Alinta graphite, squash racket, case and 3 balls (2 double yellow, one red dot).  Pick up at Zürich Enge."
"09.09.2010, 22:23",Spellbound,WANTED: Stickers for Rubbish Bags in Basel,"Hello Everyone,
Does anyone have any spare stickers for rubbish bags that they don't need? I seem to have lost my stickers."
"10.09.2010, 12:51",expat_in_zug,"Free Power Converter - Thalwil, ZH","Got this in Canada, but the guy replaced the end of it so that he could use European stuff in Canada. So now it converts power, but you have to have a North American adapter for the plug, not power.
Free however."
"07.09.2010, 09:33",pigeonsbay,"Free double Bed [Zurich, Wollishofen]","I have just bought a new bed, so am giving mine away for free.
Can be easily taken apart, as metal frame with Screws.
Not the newest anymore but then again it's free...
Can be collected from Sunday 12th September on.
Photo here:http://img37.imageshack.us/img37/9123/photoyzf.jpg
Any questions send me a PM!"
"10.09.2010, 15:42",pamela16,Wanted: 2nd hand English paperbacks - Basel,"I am sure this is in the wrong spot but couldn't get myself in to start an off-topic thread....probably need coffee. Mods? Ta.
Anyway, as I will soon be out of CH for a couple of months and hanging around in the back of beyond in bits of France, I would like to get my hands on some old paperbacks that can be thrown away when read. In case I can't get the easy computer access I am hoping for!
Any suggestions to get hold of said books in Basel?  Don't need/want expensive new books.
Thanks."
"08.09.2010, 23:38",aje,"Zurich - Free Iron/board, blow up mattress, etc","It's yours if you can come by my place this Friday evening (10.9.10) after 18:30, or before Saturday at 12:00 (11.9.10). 
I live in the heart of Zurich, near Stadelhofen train station.
Ironing board and iron
Wilson Indoor/outdoor basketball
3 swimming pool floating ""noodles""
Air up mattress - NO LONGER AVAILABLE
Please send me a private message if you are interested, and I will give you my address for pick up."
"10.09.2010, 10:27",Papa Goose,Nokia hands free kit [Mettmenstetten-ZH],"I found this in my cellar the other day, still boxed, the link below shows the kit. http://www.blueunplugged.com/p.aspx?p=97860#moreinfo"
"22.08.2010, 13:00",swisspea,Free: Ikea CD/DVD shelf x 2,"I have two CD/DVD units - Benno
Like this:http://www.ikea.com/us/en/catalog/products/07305310
One white, one grey.
Free to good home, pick up from Adliswil...They are in great condition, just not being used because I need to put the DVD's and CD's out of reach of the toddler"
"09.09.2010, 19:21",Imo.v.B,Free moving boxes [Zurich],"Hi, 
We moved to Zurich a few weeks ago and have lots of packing boxes if anybody needs any! Please P.M me if you are interested.
Imo.v.B"
"10.09.2010, 08:53",suzyzoo,"Free Motorola mobile phone charger, US plug [Zurich]","Found this while unpacking, belonged to an old mobile phone that is no longer in used.
I am wondering if anyone would possibly be looking for this, if not, I will just trash it.
Thanks!"
"09.09.2010, 15:51",liuying19871224,[wanted] a study table(desk) and chair,"I am looking for a study table(desk) and chair. 
If there is a desk with a drawer, that will be best. Otherwise, it is fine as well. Kind of need it soooo soon. 
Please PM me. Thank you a lot. 
Ying"
"24.08.2010, 20:01",Rochebatch,Free furniture Zurich,"I have a few bits of furniture to give away free to a good home.  They are only very basic but would tide you over if you are in need of some temporary funrniture....
2xbedside tables
Ikea double bed frame and matching scaffolding wardrobe/storage unit (Hopen design)
Ikea basic wardrobe
27"" Daewoo TV
Dark wood, solid coffee table
I am afraid I have no pictures as am no longer living at the property.  I will be there from 5.30-8pm tomorrow evening if anyone would like to come and collect the items.  PM me for more info.  The apartment is in Zurich, kreis 7.
Thanks!"
"03.06.2010, 21:39",rachvdg,Various Free furniture and other items...,We have a bunch of free furniture available  - please check out the link for photos and details. http://hasslefreefurniture.shutterfly.com/
"06.09.2010, 17:49",andy.swiss,Free 2 tickets 105 DJ Night 2010 in Zürich,"Good evening everybody, I have 2 tickets 105 DJ Night 2010 in Zurich (Location: X-TRA, Limmatstr. 118, 8005 Zürich), on Thursday 09/09/10, starting at 20h. I am busy on that day, so I would give them to you if you are interested in it. Please take the tickets only when you are really sure that you want to go, otherwise give others a chance 
Tickets can be collected in Bern.
Andy"
"06.09.2010, 17:09",swiss_in_training,FREE-small pet bedding (Zurich),"Okay, don't ask how I ended up with this, but I have a nearly full 4 kg bag of shredded pine bedding (hobelspaene) that I don't need but feel bad about throwing away.  Any takers?  Please?
I live very close to Bahnhof Oerlikon."
"20.08.2010, 09:44",monkeyboy76,Now Free: Panasonic 36 (92cm) Widescreen (CRT) TV [Luzern],"Hi all,
  I have previously asked how to dispose of an older TV [1]. So Im now posting an official message asking if someone to take it away for me. 
  Originally, 7 years ago, this TV did set me back 5.000,- CHF, so I am feeling hard done by letting it go for free, but with all of the cheap LCDs around now I guess the best I can ask for is a decent bottle of wine in exchange? Or maybe 50,- to take the wife for a slap up Mc Donalds dinner?
  The model is a Panasonic TX-36PG50D
  It has a great set of features like:36 inch / 92 cm flat wide screen Picture in picture (watch a second channel in a small window) Side by side picture (watch 2 channels at the same time) Channel scanning (current channel is in middle, others are displayed around it) Direct video link 100 MHz Dolby surround sound technologies (multiple modes)             The picture quality is amazing still. When watching SD TV it will perform better then most of the cheap/average TVs you can pick up in MediaMarkt, and lets face it, how much HD TV are you watching at the moment? 
    Despite moving four times, the TV is in practically new condition. 
  TV comes with all manuals, German, French and Italian. The German version of which can be downloaded here [2], which contains all the information you could ever want to know. 
  It does have its own stand with wheels, but the TV weighs 85 Kg, so will need at least 2 people to move. 
  Let me know if interested.
  [1] Disposing of CRT TV
  [2] http://www.panasonic.ch/doc/2701_280...uide_1_d_-.pdf"
"17.08.2010, 08:40",my99destiny,[Now FREE] Dining Table with 6 chairs [ZH Thalwil],"We are selling our used wooden dining table with 6 chairs. The dining table can be adjusted between 120 to 220 cms. 
Chf 150/- for the complete set. Immediate availibility."
"05.09.2010, 17:08",The_Love_Doctor,[wanted] Samsung Laptop Fully Charged Battery!!!,"Just on the off chance someone has a Samsung laptop R series would be ideal!! Pm me if you're around Zug and willing to help.
Many thanks :-)"
"04.09.2010, 14:46",expat_in_zug,"Free Bubble Wrap. An entire moving box full of it - Thalwil, ZH","Free Bubble Wrap. An entire moving box full of it - Thalwil, ZH
I am avail;able today. Send a PM with your number or we can communicate over email and you can pick it up. thanks.
Or, if no one wants to pick it up, does anyone know if there is a place to throw it all away? Does the post office take it or anything? 
thanks"
"04.09.2010, 19:44",expat_in_zug,"Free Rollerblades - Thalwil, ZH","Top Quality. Hockey Style. The wheels are kind of worn, but it's no problem. They were probably 200 new. I bought them used and I am giving them away for free.
Will fit size 41-42 or Size 8 or 9 shoe.
Thalwil, ZH"
"24.08.2010, 12:17",ibk,Moving boxes WANTED please,"Hi, I have seen kind people offering free house-move boxes on here before so I have a request:
Anyone got any moving boxes they no longer need?
We can collect in car.
Would be much appreciated as we are most probably putting our stuff into storage until we know where we are going! Large furniture being sold- hence not using removal company...
Please PM if you can help ,
Thanks very much!"
"27.08.2010, 22:06",mikiap,Looking for free moving boxes,"Hi all
We are looking for free moving boxes in Zurich. If somebody has some to give away, we would be grateful.
Thanks
Cheers
Miki"
"02.09.2010, 09:28",Tauras,Double mattress for free,"Want to give away a double mattress for free... 
Not in a very great condition though.
PM if interested."
"01.09.2010, 21:13",expat24,"Three piece suite, double and single mattress (ZURICH-BÜLACH)","Very comfortable sofas available for pick up from Bulach (near airport) as well as both a double and single mattress.
Reason for sale is wanting to use storage space as painting room.
Please get in touch for photos (sofas only)"
