d, u, t, b
"26.09.2012, 00:47",jd3241,Free Swisscom Modem VDSL/Router [Zurich],"Free  Swisscom Modem VDSL Motorola with the accessories, e.g. cables, etc. [Swisscom description].  Used for 4 or 5 months; no longer needed since I moved with a roommate. 
Pick up place is at Zurich HB. If you are interested please PM within 48 hours otherwise they will be donated to a recycling service."
"25.09.2012, 18:46",New_in_Zurich,Wanted - floor lamps,"Anyone wanting to give away unwanted floor lamps, please PM me. I will be using the same only for 4-6 months so will be happy to take from anyone giving away their's for free"
"25.09.2012, 18:45",rob1,Free: Thompson crt tv - kloten,"Hi,
We have a 28"" (i think) CRT tv in great condition for FREE inc remote - collection in Kloten near hardys bar.
It goes to the recycle centre tomorrow afternoon so be quick if you want it."
"22.09.2012, 16:57",papple82,Free: IKEA Frames - Zurich,"Hi all,
for free 2 IKEA frames, black, dimensions: 70x102
Product link: http://www.ikea.com/ch/de/catalog/products/30132527/
No scratces, very good conditions, pick up in Zurich Enge.
Thanks!
Papple"
"24.09.2012, 21:28",Zeynep G,[Free] Ikea Bettsessel [Zurich],"I am giving away my IKEA PS LÖVÅS Bettsessel for free. It is in great condition, you may just need to wash the cover as i kept it in the cellar.
Pick up latest Wednesday (26.09)  from Wollishofen.
Please PM me if interested.
Zeynep"
"04.09.2012, 21:34",ML2012,"WANTED: Free box for moving TV 32""","Hi all, 
does anyone has a free big box where I can put in my flat 32"" tv? I am leaving Switzerland and need to fit the TV in a box min. 80x50cm. Cannot find neither where to buy a box with that size. would really appreciate if someone has a spare one near Zurich! thanks in advance."
"03.09.2012, 09:33",lmerkel,Moving boxes and Queen bed,"We have free moving boxes - 5 wardrobes and as many as 15 book boxes size and large cooking supply boxes (5) to give away, sturdy for anything.
Also, a metal queen bed frame and queen mattress.  
Please PM me if you would like to pick up.  In Corseaux, 2  minutes from Vevey."
"18.09.2012, 23:28",gastrep,Free 160x200cm Wooden Bed Spring Slats,"In good condition.
Pick up at 8006, Zurich."
"19.09.2012, 20:26",gastrep,Free : Travel cot and playpen,"It was washed recently but does not look very clean.
Other than that, works perfectly.
Pick up at 8006, Zurich
Pick up between 5:30-7:30pm on weekdays preferred."
"19.09.2012, 20:29",gastrep,Free: Bathtub for babies,"Bathtub for babies,
Used couple of month.
Pick up at 8006, Zurich.
Pick up between 5:30pm-7:30pm during weekdays preferred."
"24.09.2012, 18:28",highrotation,"Free: Tickets for This Is Tigerr festival, ZH","I've got some tickets to give away for some great shows at the This Is Tigerr festival in Zurich this week:
Tuesday, Plaza, ZH: (TOY, Brns, O Children)
Thursday, Stall 6, ZH (Garda, Pale Seas)
Friday, Papiersaal, ZH: (Maya Turbo, Sydney Wayser, Noa Moon)
If anyone is interested, PM me please!"
"30.08.2012, 13:29",domini18,Sofa bed for free,"Free sofa bed in Zurich
Brand: Ikea
3 years old, good condition.
Pick up in Schwamindingerplatz
PM me for details
Leaving country and need to pass on. I do not have a car so you will have to pick up, with my help at my end."
"11.09.2012, 13:44",tufail.tak,32 inch M-electronics CRT TV for giveaway,"I am posting on behalf of my friend.
32 inch M-electronics CRT TV for giveaway. 
Pickup from 8045 Zurich."
"19.09.2012, 13:05",shushanna,"Free stuff Zürich: sommer tires, techwood TV","Hi, I am giving away a techwood TV, ca 5 years, works fine.
and 
4 summer tires for Golf II, several years but still usebale.
pick up this friday or saturday.
thanks, shushanna"
"19.09.2012, 20:53",gastrep,Free : Battery powered swing,"This is a battery powered swing by GRACO.
I got it in this forum but never used it so haven't tried if it still works
with battery or not.
Even without battery power, it looks like a good swing for babies 
to sit on
It can be taken apart.
Pick up at Zurich, 8006
Pick up between 5:30pm-7:30pm preferred."
"18.09.2012, 13:38",M_S,St jakob shopping center discount coupon( bis 22 sep 12) - basel,"I realised it very late that i have a coupon card for ca 50 shops in st. Jakob mall valid untill 22 sep12.
Also 2 coop pampers 10 chf discount coupons valid untill 30 sep 12.
Let me know if anyone would like to avail the discount."
"19.09.2012, 21:30",sammy-boy,Tonhalle Orchestra Ticket Giveaway,"Hey guys,
Im a local musician here.
Just to let you know, David Zinman is giving away 8 tickets to Tonhalle concerts.  You just have to comment on his website!
Here is the linkhttp://www.davidzinman.org/david-zin...hestra-zurich/
Hope to see you all there!"
"19.09.2012, 17:13",DubinZurich,Dylan Moran Free ticket for tonight,"Hi There
I have one free ticket available for above at the Volkshaus tonight at 8pm first come first served. I will be checking pms up to 7.30pm so if your interested let me know and I will message you my mobile number
cheers
Paul"
"15.09.2012, 13:34",ElggDK,For free. Snowboard bindings. Bülach/ZH,"For hard boots.
Screws included."
"19.09.2012, 12:28",10:30,FREE - Basel - Beautiful Large Carpet,"Hi everyone, as part of my new life, I'm parting with my Enormous Carpet. Its origin is unknown, but it's certainly not some Ikea trash. Its basic color is reddish, but is intricately detailed with various patterns. I'm not going to swear that it's handmade, but it's certainly a special piece.
And it's very large: probably 4m x 4m. It's too big for my new space. I can't even unfold it properly. Damn shame.
And so, since I'm off to the US tomorrow (Thursday 20 Sept, very early) for a long trip, I'm committing a giant sin and putting the carpet out on the street with a gratis sign. If anyone feels inclined, swing by with a cart or a car (it is rather heavy) and it's yours. It's right now out in front of:
Bechburgerstrasse 10 (Breite area of Basel, Tramstop Breite)
The pics don't do it justice. I could only unfold one tiny corner, and there's a pic of the folded carpet. https://picasaweb.google.com/1048733...eat=directlink"
"11.09.2012, 13:37",logout,All together free to go!,"Please see another thread of mine as linked below,http://www.englishforum.ch/sale-want...furniture.html
I have decided to give them away for free."
"17.09.2012, 20:42",Where2,Free changing table and maternity clothes,"I have a levisk ikea changing table for free, it's still in very good shape, but was used through three children. 
I also have a box of maternity clothes to give for free, size 34, 36, 38. They are summer and fall mainly. They are also in good condition, I just have no time to sell them and think it's a shame to put them in the collection bins if someone can use them.
Pick up would be just over the basel border in France. I'm hoping to clear them out this week."
"07.09.2012, 11:07",drwiso,"must go ,Free bedroom because of moving (zurich)","free bed ,cupboard ,side table , corner tree because of moving.
 if interested please send PM,"
"02.09.2012, 12:38",Keefyd,"Free - 20"" Sony TV (CRT) - (Basel)","hello Folks, 
Free TV for anyone that wants it - 
Yes, I know, it is a CRT, but it works perfectly fine and was being used to play PS2 games on it. 
SCART socket at the rear. 
Fully working, UK moulded Plug and remote. 
Pick up only in Basel Stadt - please be aware it is a tad heavy to lift!
Time and date to suit whoever would like it - 
Needs a cosy, warm home to be acquainted with again. 
Any questions, please feel free to ask -"
"16.09.2012, 17:28",yeida,Wanted: Simple unlocked mobile phone,"Hi there,
Does someone has a simple unlocked mobile phone (possibly Nokia etc') which is user friendly and doesn't use anymore? I can collect it in Zurich area.
Thank you!"
"15.09.2012, 10:55",papple82,For free: TV mobel and mirror (Zurich),"Hi all! Now free:
- IKEA Lack TV bench: http://www.flickr.com/photos/80596301@N04
- IKEA KRABB Mirror (only one) : http://www.ikea.com/ch/it/catalog/products/70179377/ 
Both in great conditions, pick up in Zurich"
"15.09.2012, 17:59",Konov,For Free: Upright Piano,"Hey guys,
We are giving away a piano for free.  It is a Ronisch De Luxe made somewhere in the 80's.http://imgur.com/a/nMiwF
Send me a PM if you are interested.
Lausanne Area"
"05.09.2012, 18:59",domini18,"Free furniture, kitchen, bathroom, living room. Zurich","Hi all,
I have the following furniture to give away. I am leaving Zurich very soon and prefer to pass it on then throw it away. The following items are all Ikea. I live in Schwamendingerplatz. Items must be picked up. Pick and mix as you please. I am around until Monday, items can be picked up anytime but the sooner the better. I will remove items from this listing as they go:
side cabinet (brown).
Living room table .
bathroom cupboard (white).
shelves.
Cheers,
Dominic."
"14.09.2012, 00:52",curious,Free TV cabinet,"https://picasaweb.google.com/1163465.../LastItemsToGo
Finally TV cabinet, computer table and sofa are free.
PM me if you want to pick them"
"13.09.2012, 21:12",gaijin,Leather (half) sofa for free in ZH,"This is a part of an L shaped sofa. 
Natural beige leather, decent condition and very comfortable. 
Part of it is a recliner (feet and body). 
We moved to a larger apartment and have space now for a bigger sofa. 
To pick up in Oerlikon, ZH and we might be able help with the move (Mobility and such...)."
"06.09.2012, 09:36",Angela-74,Free Moving Boxes [Neuchatel],"We have about 5 huge boxes for clothes hanging and about 20 medium to big sized boxes for moving. If anyone needs them, they can collect them near Neuchatel this weekend. Will call the movers otherwise on Monday.
Please PM for more Info"
"13.09.2012, 20:59",MarcB,Teutonia Tario Adaptor to give away,"We have an unopened adaptor for the Teutonia Tario car seat to give away.
On the packaging it says it's compatible with Lamda, Cosma, Fun System, Spirit S3 2010.
Product code: F60152037999900
Product name: Adapter Tario Universal"
"13.09.2012, 16:32",MarcB,Moving Boxes,"Hi, anyone wants to get rid of their old moving boxes? I would be more than happy to take them off you ;-)
Cheers"
"12.09.2012, 10:54",kri,15% voucher for Jelmoli online shop,"Must be used before Sept 14th 2012 so only go for it if you will use it!!!
Pls send an email (PM will be ignored)
First come first served"
"03.09.2012, 12:56",Spellbound,"Pillows, White Bedding, Big Mirror, Couch and Clothes Rail *Wanted in Basel*","Hello there
I am wondering if anyone is trying to rehome 1 or all of these items? None of them are urgently needed, but if you no longer need 1 or all of them, I'd be a happy recipient.
Wishing you all a great week.
Kind Regards."
"25.07.2012, 08:55",kri,Free Electric BBQ Zürich Wiedikon,"Hi!
Found our old small electric BBQ and if anyone wants it, it is yours 
Needs a little scrub though but working fine.
Send email (PMs will be ignored) if you want it. (To send email click on my name ""kri"" and then on ""send email"")
cheers,
K"
"11.09.2012, 00:25",cess,"Wanted: clothes rack, Ikea Expedit shelves (Zurich)","Hello,
So just moved to a new room and wondering if anyone has an old clothes rack hanging around (pun intended, he he), anything similar to the photo would be great.
also would be interested in any of the Expedit series from Ikea,
so let me know id you have a 2x2, or 2x4 or 4x4 or 5x5 
I may be willing to pay some money or wine in exchange for the expedits.
Pm me with details.
Also I'm based in Zurich."
